,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
13375,29480077,austin,78745,Single Family,1958,385000.0,1,1.2666666666666666,1
13376,64433565,austin,78739,Single Family,2004,629900.0,1,1.5666666666666669,0
13377,29499210,austin,78749,Single Family,1986,369000.0,2,1.1,0
13378,29486076,austin,78745,Single Family,1973,350000.0,2,0.9,1
13379,29510564,austin,78739,Single Family,1998,459900.0,4,1.7,0
13380,29499706,austin,78749,Single Family,1997,415000.0,1,1.4333333333333331,0
13381,2091055575,austin,78745,Single Family,2007,359900.0,2,0.8333333333333334,1
13382,70343063,austin,78739,Single Family,2006,529000.0,2,1.7333333333333334,0
13383,114405075,austin,78745,Single Family,2011,419900.0,4,0.9,1
13384,29496490,austin,78749,Single Family,2001,415000.0,1,1.4666666666666668,0
13385,29505063,austin,78739,Single Family,1988,499900.0,4,1.4333333333333336,0
13386,29496204,austin,78749,Single Family,1998,398000.0,5,1.4,0
13387,64501561,austin,78739,Single Family,2004,775000.0,3,1.5333333333333332,0
13388,29496202,austin,78749,Single Family,1998,398000.0,2,1.4,0
13389,29510559,austin,78739,Single Family,1996,555000.0,1,1.7333333333333334,0
13390,58313072,austin,78745,Single Family,1958,394900.0,1,1.4666666666666668,1
