Date,Sales,Dollar,Average,Median,Total,Months
,,Volume,Price,Price,Listings,Inventory
May-95,"1,070","130,168,710","121,653","100,539","3,921",4.6
Jun-95,"1,179","148,859,361","126,259","102,934","4,012",4.6
Jul-95,"1,137","136,956,198","120,454","97,844","4,071",4.6
Aug-95,"1,257","151,687,218","120,674","99,142","4,097",4.6
Sep-95,936,"118,310,400","126,400","99,940","4,076",4.5
Oct-95,937,"110,396,403","117,819","100,339","3,888",4.2
Nov-95,914,"109,545,642","119,853","102,435","3,740",4
Dec-95,828,"104,607,864","126,338","107,424","3,549",3.8
Jan-96,775,"101,790,050","131,342","109,221","4,086",4.3
Feb-96,880,"116,336,880","132,201","113,512","4,386",4.5
Mar-96,"1,075","139,767,200","130,016","107,824","4,597",4.7
Apr-96,"1,071","138,646,305","129,455","109,620","4,914",4.9
May-96,"1,296","164,639,952","127,037","104,331","5,211",5.1
Jun-96,"1,193","159,708,103","133,871","110,418","5,539",5.4
Jul-96,"1,290","167,911,560","130,164","108,522","5,587",5.4
Aug-96,"1,191","143,258,244","120,284","105,728","5,579",5.4
Sep-96,888,"112,514,928","126,706","103,832","5,552",5.4
Oct-96,958,"120,966,660","126,270","104,530","5,554",5.4
Nov-96,849,"109,179,702","128,598","108,622","5,399",5.3
Dec-96,940,"121,326,740","129,071","109,720","5,108",4.9
Jan-97,682,"89,709,598","131,539","109,420","5,146",5
Feb-97,692,"87,455,652","126,381","105,229","5,448",5.4
Mar-97,902,"124,015,078","137,489","109,121","5,538",5.6
Apr-97,932,"130,900,332","140,451","109,720","5,738",5.8
May-97,"1,136","152,385,312","134,142","112,514","6,000",6.2
Jun-97,"1,214","171,731,226","141,459","113,113","5,927",6.1
Jul-97,"1,266","179,685,912","141,932","114,709","5,807",6
Aug-97,"1,214","166,467,322","137,123","110,518","5,540",5.7
Sep-97,"1,089","153,349,713","140,817","113,113","5,193",5.2
Oct-97,"1,119","158,548,872","141,688","116,905","4,854",4.8
Nov-97,989,"135,238,827","136,743","112,813","4,561",4.5
Dec-97,"1,018","139,526,062","137,059","109,919","4,379",4.3
Jan-98,717,"95,293,602","132,906","113,911","4,464",4.4
Feb-98,935,"127,247,890","136,094","111,017","4,448",4.3
Mar-98,"1,260","177,845,220","141,147","115,508","4,628",4.3
Apr-98,"1,308","187,245,432","143,154","112,414","4,708",4.3
May-98,"1,377","200,210,292","145,396","117,404","4,753",4.2
Jun-98,"1,656","250,041,096","150,991","119,799","4,680",4
Jul-98,"1,665","258,506,235","155,259","118,302","4,462",3.7
Aug-98,"1,531","227,088,637","148,327","117,603","4,344",3.6
Sep-98,"1,280","192,672,000","150,525","121,595","4,285",3.5
Oct-98,"1,202","171,559,056","142,728","117,803","3,976",3.2
Nov-98,"1,203","172,625,688","143,496","118,502","3,662",2.9
Dec-98,"1,204","182,646,800","151,700","118,601","3,400",2.7
Jan-99,964,"143,482,724","148,841","119,899","3,241",2.5
Feb-99,"1,122","166,402,698","148,309","122,294","3,396",2.6
Mar-99,"1,518","225,298,524","148,418","120,996","3,464",2.6
Apr-99,"1,500","230,986,500","153,991","123,192","3,484",2.6
May-99,"1,631","258,811,973","158,683","122,493","3,507",2.6
Jun-99,"1,968","314,226,624","159,668","126,984","3,680",2.6
Jul-99,"1,900","304,609,900","160,321","126,186","3,661",2.6
Aug-99,"1,804","298,058,684","165,221","124,489","3,459",2.4
Sep-99,"1,492","241,754,728","162,034","130,876","3,219",2.2
Oct-99,"1,349","222,336,784","164,816","125,986","3,027",2.1
Nov-99,"1,319","226,612,114","171,806","129,978","2,815",1.9
Dec-99,"1,278","228,602,250","178,875","136,564","2,549",1.7
Jan-00,"1,010","167,570,110","165,911","132,872","2,429",1.6
Feb-00,"1,257","219,164,235","174,355","133,171","2,335",1.6
Mar-00,"1,577","290,015,031","183,903","135,866","2,387",1.6
Apr-00,"1,531","280,940,031","183,501","136,065","2,537",1.7
May-00,"1,947","382,743,207","196,581","143,849","2,961",1.9
Jun-00,"1,854","358,443,090","193,335","147,941","3,143",2.1
Jul-00,"1,788","341,963,940","191,255","148,440","3,287",2.2
Aug-00,"1,849","350,304,144","189,456","145,446","3,291",2.2
Sep-00,"1,474","285,098,132","193,418","147,841","3,401",2.2
Oct-00,"1,499","293,054,500","195,500","149,238","3,443",2.2
Nov-00,"1,226","238,682,584","194,684","147,142","3,457",2.3
Dec-00,"1,309","255,671,262","195,318","149,038","3,348",2.2
Jan-01,"1,070","199,538,950","186,485","141,155","3,777",2.5
Feb-01,"1,194","228,187,728","191,112","150,136","4,665",3.1
Mar-01,"1,528","288,753,800","188,975","147,641","5,436",3.6
Apr-01,"1,553","294,214,297","189,449","150,236","6,137",4
May-01,"1,808","358,181,072","198,109","151,034","6,858",4.5
Jun-01,"1,826","356,895,352","195,452","150,635","7,511",5
Jul-01,"1,840","354,996,720","192,933","154,627","7,740",5.1
Aug-01,"1,771","350,617,267","197,977","152,930","7,708",5.1
Sep-01,"1,359","250,651,242","184,438","145,945","7,836",5.2
Oct-01,"1,330","238,681,800","179,460","138,859","7,469",5
Nov-01,"1,366","249,923,360","182,960","151,533","6,714",4.5
Dec-01,"1,450","290,233,450","200,161","154,826","6,147",4.1
Jan-02,"1,154","236,423,442","204,873","151,733","6,188",4.1
Feb-02,"1,385","272,572,155","196,803","156,423","6,526",4.3
Mar-02,"1,525","305,925,675","200,607","155,724","6,960",4.5
Apr-02,"1,638","313,472,250","191,375","155,325","7,560",4.9
May-02,"1,899","373,442,148","196,652","155,126","8,441",5.5
Jun-02,"1,799","361,942,609","201,191","158,020","8,951",5.8
Jul-02,"1,701","323,640,765","190,265","150,835","9,193",6
Aug-02,"1,713","337,358,220","196,940","156,024","9,173",6
Sep-02,"1,385","266,857,645","192,677","151,533","9,184",6
Oct-02,"1,456","283,561,824","194,754","149,437","9,078",5.9
Nov-02,"1,283","238,042,688","185,536","148,939","8,521",5.6
Dec-02,"1,476","286,696,764","194,239","150,735","8,187",5.3
Jan-03,"1,077","193,151,334","179,342","143,250","8,495",5.6
Feb-03,"1,217","230,757,804","189,612","149,737","8,872",5.9
Mar-03,"1,497","286,943,463","191,679","152,132","9,482",6.3
Apr-03,"1,522","293,065,666","192,553","153,828","10,084",6.7
May-03,"1,625","321,223,500","197,676","155,924","10,399",7
Jun-03,"1,899","391,283,253","206,047","161,512","10,328",6.9
Jul-03,"2,014","406,346,654","201,761","159,616","10,257",6.8
Aug-03,"2,132","412,141,184","193,312","154,427","10,089",6.5
Sep-03,"1,866","346,990,164","185,954","150,635","9,978",6.3
Oct-03,"1,583","309,470,168","195,496","151,833","9,804",6.1
Nov-03,"1,340","260,620,620","194,493","150,635","9,269",5.8
Dec-03,"1,697","344,411,241","202,953","154,727","8,975",5.5
Jan-04,"1,079","198,282,435","183,765","143,550","9,183",5.7
Feb-04,"1,280","248,828,160","194,397","148,040","9,771",6
Mar-04,"1,623","321,042,384","197,808","153,230","10,097",6.2
Apr-04,"2,005","387,135,425","193,085","153,629","10,223",6.1
May-04,"2,049","407,519,463","198,887","154,627","10,432",6.1
Jun-04,"2,392","488,807,592","204,351","159,217","10,450",6
Jul-04,"2,337","467,752,887","200,151","157,820","10,356",5.8
Aug-04,"2,293","454,447,377","198,189","151,932","10,125",5.6
Sep-04,"1,895","380,705,500","200,900","157,321","9,765",5.4
Oct-04,"1,676","332,387,672","198,322","149,437","9,471",5.2
Nov-04,"1,603","300,113,660","187,220","146,643","8,609",4.7
Dec-04,"1,961","383,210,776","195,416","153,130","8,196",4.4
Jan-05,"1,407","273,921,795","194,685","147,442","8,241",4.4
Feb-05,"1,612","309,281,544","191,862","156,024","8,530",4.5
Mar-05,"2,130","429,827,610","201,797","153,828","8,846",4.5
Apr-05,"2,120","425,581,520","200,746","157,321","9,110",4.7
May-05,"2,453","527,264,991","214,947","158,618","8,536",4.3
Jun-05,"2,655","563,574,195","212,269","165,205","8,786",4.4
Jul-05,"2,668","581,079,728","217,796","164,905","9,057",4.4
Aug-05,"2,833","597,610,018","210,946","166,602","8,427",4
Sep-05,"2,452","507,831,268","207,109","157,521","7,938",3.7
Oct-05,"2,090","427,382,010","204,489","157,920","7,752",3.6
Nov-05,"1,942","426,202,972","219,466","167,001","7,268",3.3
Dec-05,"2,086","454,232,758","217,753","167,700","7,073",3.2
Jan-06,"1,666","372,417,640","223,540","167,001","7,432",3.3
Feb-06,"1,855","404,809,230","218,226","164,806","7,593",3.4
Mar-06,"2,560","573,322,240","223,954","165,804","8,010",3.5
Apr-06,"2,393","543,203,821","226,997","170,693","8,297",3.6
May-06,"2,897","663,146,476","228,908","169,396","8,328",3.6
Jun-06,"3,279","768,804,177","234,463","174,486","8,599",3.6
Jul-06,"2,937","693,678,282","236,186","173,687","8,466",3.5
Aug-06,"3,050","714,630,250","234,305","178,477","8,264",3.4
Sep-06,"2,542","567,567,592","223,276","166,103","8,429",3.5
Oct-06,"2,315","522,703,850","225,790","173,587","8,226",3.3
Nov-06,"2,105","486,391,825","231,065","171,292","7,623",3.1
Dec-06,"2,168","505,245,896","233,047","174,985","7,070",2.9
Jan-07,"1,617","382,996,152","236,856","173,488","7,119",2.9
Feb-07,"1,872","434,725,200","232,225","176,581","7,325",3
Mar-07,"2,557","616,600,094","241,142","176,382","8,029",3.2
Apr-07,"2,522","613,794,272","243,376","180,972","8,716",3.5
May-07,"2,960","727,763,360","245,866","182,569","9,317",3.7
Jun-07,"3,032","768,712,056","253,533","190,053","9,680",3.9
Jul-07,"2,908","730,065,032","251,054","187,958","10,085",4.1
Aug-07,"2,757","704,785,695","255,635","189,654","10,499",4.3
Sep-07,"1,951","485,617,557","248,907","181,571","10,706",4.5
Oct-07,"1,878","449,645,784","239,428","180,773","10,356",4.4
Nov-07,"1,775","434,008,800","244,512","184,265","8,930",3.8
Dec-07,"1,742","434,804,942","249,601","188,357","9,196",4
Jan-08,"1,412","340,067,492","240,841","184,365","9,732",4.3
Feb-08,"1,677","386,940,918","230,734","179,375","10,189",4.5
Mar-08,"2,015","477,458,280","236,952","187,858","10,758",4.8
Apr-08,"2,153","511,234,156","237,452","186,062","11,159",5.1
May-08,"2,312","590,322,960","255,330","192,848","11,740",5.5
Jun-08,"2,380","604,139,200","253,840","195,442","12,093",5.8
Jul-08,"2,253","566,379,417","251,389","189,954","12,052",6
Aug-08,"2,177","543,300,828","249,564","193,347","11,403",5.8
Sep-08,"1,799","429,173,038","238,562","180,872","11,233",5.7
Oct-08,"1,421","339,488,268","238,908","187,559","10,961",5.7
Nov-08,"1,072","246,549,280","229,990","179,176","10,197",5.5
Dec-08,"1,397","334,898,619","239,727","178,677","9,419",5.1
Jan-09,901,"201,624,879","223,779","175,084","9,702",5.4
Feb-09,"1,174","276,447,650","235,475","186,660","10,257",5.8
Mar-09,"1,474","334,030,510","226,615","178,178","10,607",6.2
Apr-09,"1,664","379,887,872","228,298","185,962","10,789",6.5
May-09,"1,821","450,730,278","247,518","192,448","10,862",6.7
Jun-09,"2,216","544,265,112","245,607","194,644","11,007",6.8
Jul-09,"2,225","530,978,450","238,642","188,956","10,776",6.7
Aug-09,"1,926","455,169,654","236,329","186,860","10,268",6.5
Sep-09,"1,902","448,004,688","235,544","183,866","9,815",6.1
Oct-09,"1,920","445,574,400","232,070","178,378","9,629",5.9
Nov-09,"1,701","393,249,087","231,187","175,184","9,166",5.4
Dec-09,"1,483","370,119,725","249,575","186,860","8,697",5.1
Jan-10,970,"226,549,320","233,556","174,386","9,261",5.4
Feb-10,"1,229","287,475,390","233,910","181,671","10,153",5.9
Mar-10,"1,954","451,948,476","231,294","178,477","11,172",6.4
Apr-10,"2,192","502,412,976","229,203","184,166","11,595",6.5
May-10,"2,247","532,534,506","236,998","187,658","12,110",6.6
Jun-10,"2,153","575,057,688","267,096","199,534","12,676",6.9
Jul-10,"1,613","447,552,658","277,466","212,607","12,659",7.1
Aug-10,"1,648","425,739,376","258,337","194,245","11,899",6.8
Sep-10,"1,384","336,129,312","242,868","189,554","11,160",6.5
Oct-10,"1,315","337,446,095","256,613","192,349","10,331",6.2
Nov-10,"1,306","319,354,874","244,529","179,675","9,236",5.7
Dec-10,"1,536","377,324,544","245,654","190,253","8,616",5.3
Jan-11,"1,030","247,642,103","240,429","185,000","8,622",5.2
Feb-11,"1,193","283,787,622","237,877","185,000","9,128",5.6
Mar-11,"1,756","418,677,997","238,427","181,384","9,796",6
Apr-11,"1,829","479,987,943","262,432","190,000","10,365",6.5
May-11,"2,048","530,762,888","259,162","192,000","10,361",6.6
Jun-11,"2,333","609,805,374","261,383","196,900","10,292",6.5
Jul-11,"2,147","546,140,789","254,374","190,000","9,909",6.1
Aug-11,"2,191","552,364,871","252,106","192,445","9,110",5.4
Sep-11,"1,774","425,602,736","239,911","185,000","8,833",5.2
Oct-11,"1,556","382,976,150","246,129","187,500","8,214",4.8
Nov-11,"1,456","353,403,265","242,722","184,644","7,385",4.2
Dec-11,"1,685","411,945,857","244,478","188,000","6,810",3.9
Jan-12,"1,168","263,748,607","225,812","177,625","6,769",3.8
Feb-12,"1,384","343,666,801","248,314","190,000","7,072",4
Mar-12,"2,049","524,407,229","255,933","199,900","7,528",4.2
Apr-12,"2,105","554,748,198","263,538","205,000","7,582",4.2
May-12,"2,583","695,855,832","269,398","210,000","7,792",4.2
Jun-12,"2,826","783,881,975","277,382","213,875","7,972",4.2
Jul-12,"2,570","710,439,032","276,435","210,000","7,845",4
Aug-12,"2,582","692,616,289","268,248","206,500","7,442",3.8
Sep-12,"1,965","507,903,492","258,475","196,000","6,974",3.5
Oct-12,"2,138","574,777,664","268,839","197,168","6,428",3.1
Nov-12,"1,793","474,961,670","264,898","198,000","5,769",2.8
Dec-12,"1,985","550,780,734","277,471","209,125","5,073",2.4
Jan-13,"1,526","393,722,201","258,009","200,000","4,889",2.3
Feb-13,"1,765","462,367,590","261,965","205,444","5,096",2.4
Mar-13,"2,330","645,187,709","276,905","215,300","5,186",2.4
Apr-13,"2,642","807,454,628","305,622","225,000","5,449",2.4
May-13,"3,146","934,314,413","296,985","228,000","5,757",2.5
Jun-13,"2,923","864,120,009","295,628","229,900","6,064",2.7
Jul-13,"3,320","974,764,058","293,604","223,900","6,058",2.6
Aug-13,"3,259","915,570,614","280,936","218,000","6,048",2.5
Sep-13,"2,534","711,549,770","280,801","219,950","5,909",2.4
Oct-13,"2,287","637,755,133","278,861","216,000","5,458",2.2
Nov-13,"2,004","581,581,498","290,210","217,300","5,011",2
Dec-13,"2,178","635,518,983","291,790","224,862","4,394",1.8
Jan-14,"1,510","413,250,561","273,676","215,000","4,466",1.8
Feb-14,"1,854","538,454,552","290,429","225,000","4,595",1.8
Mar-14,"2,361","700,463,622","296,681","231,000","4,842",1.9
Apr-14,"2,612","794,218,757","304,065","236,000","5,172",2.1
May-14,"3,121","991,124,850","317,566","245,000","5,883",2.4
Jun-14,"3,128","1,006,513,726","321,775","250,000","6,396",2.5
Jul-14,"3,095","965,942,736","312,098","246,700","6,819",2.7
Aug-14,"2,918","895,609,094","306,926","243,000","6,684",2.7
Sep-14,"2,572","788,904,005","306,728","237,278","6,429",2.6
Oct-14,"2,495","768,124,688","307,866","238,000","6,140",2.5
Nov-14,"1,976","602,390,772","304,854","242,000","5,473",2.2
Dec-14,"2,431","748,873,115","308,051","245,000","4,938",2
Jan-15,"1,614","493,859,795","305,985","238,000","4,808",1.9
Feb-15,"1,928","584,681,669","303,258","246,000","4,840",1.9
Mar-15,"2,582","853,842,346","330,690","255,000","5,018",2
Apr-15,"2,750","912,542,986","331,834","267,700","5,601",2.2
May-15,"2,937","1,013,724,558","345,156","269,000","5,969",2.4
Jun-15,"3,260","1,079,830,063","331,236","270,000","6,314",2.5
Jul-15,"3,356","1,120,431,044","333,859","265,000","6,951",2.7
Aug-15,"3,120","1,006,634,098","322,639","260,000","6,882",2.7
Sep-15,"2,787","883,672,399","317,069","253,000","6,575",2.5
Oct-15,"2,507","842,463,332","336,044","254,493","6,415",2.5
Nov-15,"1,933","661,993,236","342,469","269,600","5,773",2.2
Dec-15,"2,552","888,529,629","348,170","270,000","4,987",1.9
Jan-16,"1,599","510,176,947","319,060","254,000","4,898",1.9
Feb-16,"2,000","647,037,653","323,519","264,000","5,120",2
Mar-16,"2,790","951,131,875","340,907","275,000","5,666",2.2
Apr-16,"2,823","966,630,847","342,413","284,900","6,050",2.3
May-16,"3,262","1,142,369,262","350,205","284,000","6,212",2.3
Jun-16,"3,582","1,300,934,903","363,187","291,375","6,940",2.6
Jul-16,"3,108","1,073,952,717","345,545","281,198","7,375",2.8
Aug-16,"3,222","1,130,036,453","350,725","283,000","7,292",2.7
Sep-16,"2,792","949,511,903","340,083","270,000","7,334",2.7
Oct-16,"2,429","858,393,635","353,394","275,000","6,902",2.6
Nov-16,"2,319","827,178,380","356,696","285,000","6,184",2.3
Dec-16,"2,654","934,881,997","352,254","285,500","5,443",2
Jan-17,"1,708","589,395,806","345,080","275,000","5,325",2
Feb-17,"2,089","740,633,384","354,540","285,000","5,630",2.1
Mar-17,"2,785","1,009,918,432","362,628","291,500","6,498",2.4
Apr-17,"2,819","1,025,534,446","363,794","299,900","7,089",2.6
May-17,"3,465","1,318,160,558","380,422","302,500","7,577",2.8
Jun-17,"3,803","1,457,710,176","383,305","305,000","8,292",3
Jul-17,"3,253","1,219,662,652","374,935","294,900","8,561",3.1
Aug-17,"3,270","1,193,113,944","364,867","293,000","8,452",3
Sep-17,"2,690","943,418,415","350,713","286,250","8,156",2.9
Oct-17,"2,516","909,847,800","361,625","285,000","7,649",2.8
Nov-17,"2,441","868,129,286","355,645","290,000","6,950",2.5
Dec-17,"3,003","1,100,484,379","366,462","303,000","5,873",2.1
Jan-18,"1,830","648,553,592","354,401","287,000","5,606",2
Feb-18,"2,244","819,748,714","365,307","291,088","5,746",2
Mar-18,"3,044","1,152,424,239","378,589","298,455","6,411",2.2
Apr-18,"3,011","1,179,926,395","391,872","311,000","6,934",2.4
May-18,"3,643","1,409,946,595","387,029","315,000","7,630",2.6
Jun-18,"3,709","1,463,557,020","394,596","319,690","8,162",2.8
Jul-18,"3,452","1,333,845,050","386,398","310,000","8,275",2.8
Aug-18,"3,379","1,308,613,305","387,278","314,900","8,599",3
Sep-18,"2,610","971,407,698","372,187","298,000","8,489",2.9
Oct-18,"2,605","970,223,304","372,447","302,400","8,146",2.8
Nov-18,"2,471","921,620,935","372,975","299,000","7,585",2.6
Dec-18,"2,658","976,678,186","367,449","300,000","6,368",2.2
Jan-19,"1,796","663,393,887","369,373","294,000","6,405",2.2
Feb-19,"2,366","850,948,768","359,657","290,000","6,381",2.2
Mar-19,"2,973","1,140,792,914","383,718","300,000","6,641",2.3
Apr-19,"3,334","1,298,636,995","389,513","315,000","6,799",2.3
May-19,"3,893","1,602,394,517","411,609","325,000","7,441",2.5
Jun-19,"3,645","1,484,463,895","407,260","325,000","7,775",2.7
Jul-19,"3,740","1,492,548,234","399,077","318,962","7,804",2.6
Aug-19,"3,561","1,396,893,180","392,276","319,318","7,686",2.6
Sep-19,"2,961","1,173,257,281","396,237","316,619","7,389",2.5
Oct-19,"2,923","1,146,480,704","392,227","322,500","7,039",2.3
Nov-19,"2,745","1,055,838,385","384,641","305,000","6,349",2.1
Dec-19,"3,120","1,264,532,531","405,299","319,500","5,364",1.7
Jan-20,"2,038","756,984,244","371,435","305,000","5,252",1.7
Feb-20,"2,601","1,042,936,028","400,975","322,946","5,065",1.6
Mar-20,"3,189","1,321,390,812","414,359","330,000","5,539",1.8
Apr-20,"2,625","1,056,108,729","402,327","324,888","6,230",2
May-20,"2,687","1,089,576,743","405,499","327,000","5,966",2
Jun-20,"4,025","1,683,591,652","418,284","337,290","5,185",1.7
Jul-20,"4,485","1,995,281,669","444,879","350,000","5,218",1.7
Aug-20,"4,032","1,859,566,292","461,202","349,000","4,185",1.3
Sep-20,"3,878","1,753,496,212","452,165","350,318","3,704",1.2
Oct-20,"3,695","1,726,592,623","467,278","365,000","3,499",1.1
Nov-20,"3,376","1,559,074,191","461,811","362,750","2,838",0.9
Dec-20,"3,680","1,785,374,199","485,156","365,690","1,957",0.6
Jan-21,"2,427","1,111,173,801","457,838","363,000","1,378",0.4
Feb-21,"2,307","1,163,578,386","504,369","391,189","1,308",0.4
Mar-21,"3,493","1,923,392,136","550,642","425,000","1,204",0.4
Apr-21,"3,506","2,001,405,732","570,852","460,000","1,845",0.5
May-21,"3,889","2,292,098,969","589,380","463,950","1,732",0.5
Jun-21,"4,369","2,621,271,158","599,971","482,364","2,265",0.6
